,location_id,location_name,year_id,estimate_type,indicator_id,indicator_short,ihme_indicator_description,indicator_outline,indicator_unit,target_description,goal_description,scaled_value,scaled_lower,scaled_upper
109661,168,Angola,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,21.6,17.7,27.0
109702,169,Central African Republic,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,1.3,0.0,6.5
109743,170,Congo,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,8.0,0.6,15.8
109784,171,Democratic Republic of the Congo,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,10.5,6.3,14.7
109825,172,Equatorial Guinea,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,24.1,15.6,35.3
109866,173,Gabon,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,21.9,16.1,28.1
109907,175,Burundi,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,16.3,11.4,20.6
109948,176,Comoros,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,25.1,19.7,30.4
109989,177,Djibouti,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,9.0,1.7,16.5
110030,178,Eritrea,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,6.1,0.0,13.8
110071,179,Ethiopia,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,21.7,18.5,25.5
110112,180,Kenya,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,14.1,11.0,17.4
110153,181,Madagascar,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,15.9,9.9,21.0
110194,182,Malawi,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,25.1,20.1,30.9
110235,183,Mauritius,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,47.9,45.1,50.7
110276,184,Mozambique,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,20.7,15.0,25.9
110317,185,Rwanda,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,24.7,19.2,30.8
110358,186,Seychelles,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,44.3,40.9,48.3
110399,187,Somalia,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,10.9,3.7,17.9
110440,189,Tanzania,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,17.5,12.5,23.3
110481,190,Uganda,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,33.5,28.4,39.8
110522,191,Zambia,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,33.4,28.9,37.9
110563,193,Botswana,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,39.7,33.6,45.4
110604,194,Lesotho,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,14.0,4.8,21.4
110645,195,Namibia,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,36.1,28.2,44.0
110686,196,South Africa,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,34.0,30.4,37.9
110727,197,Swaziland,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,34.0,24.9,42.5
110768,198,Zimbabwe,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,17.2,11.0,21.6
110809,200,Benin,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,15.8,10.5,22.1
110850,201,Burkina Faso,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,19.9,15.3,24.6
110891,202,Cameroon,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,13.5,8.7,19.4
110932,203,Cape Verde,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,50.0,45.9,54.2
110973,204,Chad,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,8.5,4.5,13.1
111014,205,Cote d'Ivoire,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,13.2,9.1,19.0
111055,206,The Gambia,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,5.1,0.0,10.0
111096,207,Ghana,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,31.0,27.4,35.1
111137,208,Guinea,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,5.1,1.8,8.8
111178,209,Guinea-Bissau,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,22.0,14.7,28.7
111219,210,Liberia,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,5.1,1.3,9.8
111260,211,Mali,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,14.1,8.9,19.5
111301,212,Mauritania,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,6.2,1.6,11.6
111342,213,Niger,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,14.1,9.6,19.9
111383,214,Nigeria,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,19.2,10.1,28.3
111424,215,Sao Tome and Principe,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,25.1,20.3,30.3
111465,216,Senegal,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,14.6,10.6,19.3
111506,217,Sierra Leone,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,5.1,1.4,9.4
111547,218,Togo,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,19.6,15.1,25.0
111588,298,American Samoa,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,34.6,30.6,38.6
111629,305,Bermuda,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,70.8,67.3,74.5
111670,349,Greenland,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,74.6,70.1,78.8
111711,351,Guam,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,52.8,48.4,57.0
111752,376,Northern Mariana Islands,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,54.3,48.9,59.9
111793,385,Puerto Rico,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,64.9,62.1,67.7
111834,422,"Virgin Islands, U.S.",2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,49.1,43.6,54.9
111875,435,South Sudan,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,10.7,5.2,16.9
111916,522,Sudan,2017,past,1033,Mat Mort Ratio,"Indicator 3.1.1: Maternal mortality ratio (maternal deaths per 100,000 livebirths) in women aged 10-54 years",3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,24.3,18.7,31.0
111957,6,China,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,98.4,98.0,98.6
111998,7,North Korea,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,87.4,75.3,94.7
112039,8,Taiwan,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,99.7,99.2,100.0
112080,10,Cambodia,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,92.6,88.6,95.4
112121,11,Indonesia,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,85.0,77.2,90.9
112162,12,Laos,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,49.4,29.8,68.3
112203,13,Malaysia,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,99.4,98.6,99.9
112244,14,Maldives,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,99.0,97.8,99.7
112285,15,Myanmar,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,68.4,58.9,76.1
112326,16,Philippines,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,68.7,49.4,84.6
112367,17,Sri Lanka,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,100.0,99.9,100.0
112408,18,Thailand,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,99.2,98.4,99.7
112449,19,Timor-Leste,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,46.9,40.1,53.0
112490,20,Vietnam,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,95.6,92.6,97.6
112531,22,Fiji,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,99.1,98.1,99.7
112572,23,Kiribati,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,83.8,73.8,91.4
112613,24,Marshall Islands,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,92.7,87.4,96.2
112654,25,Federated States of Micronesia,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,97.9,95.6,99.2
112695,26,Papua New Guinea,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,56.1,33.0,75.3
112736,27,Samoa,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,78.0,65.0,88.0
112777,28,Solomon Islands,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,91.8,84.8,96.4
112818,29,Tonga,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,98.5,96.9,99.5
112859,30,Vanuatu,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,82.2,66.9,91.4
112900,33,Armenia,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,99.5,98.8,99.8
112941,34,Azerbaijan,2017,past,1034,Skilled Birth Attend,Indicator 3.1.2: Proportion of births attended by skilled health personnel (%),3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,96.3,92.5,98.5
